LocationKey,LocationName,City,State,Country,Region,Continent,Cost_of_Living_Index,Tech_Hub_Rating,Population,Local_GDP_USD,Timezone
LOC-0077,"Mumbai, India",Mumbai,Maharashtra,India,APAC,Asia,49.26,3.7,22814722,1.31E+12,Asia/Tehran
LOC-0078,"Cairo, Egypt",Cairo,Cairo,Egypt,EMEA,Africa,103.29,3.5,13072691,4.41E+11,Asia/Kuwait
LOC-0079,"Toronto, Canada",Toronto,Ontario,Canada,Americas,North America,80.1,3.1,1502848,7.32E+11,Asia/Oral
LOC-0080,"Moscow, Russia",Moscow,Moscow,Russia,EMEA,Europe,104.49,1.7,18521509,8.42E+11,Africa/Dakar
LOC-0081,"Moscow, Russia",Moscow,Moscow,Russia,EMEA,Europe,115.99,4.4,17993225,5.08E+11,Africa/Casablanca
LOC-0082,"Lagos, Nigeria",Lagos,Lagos,Nigeria,EMEA,Africa,72.37,2.3,19254476,4.12E+11,Europe/Riga
LOC-0083,"Cairo, Egypt",Cairo,Cairo,Egypt,EMEA,Africa,118.76,1.1,1660379,1.50E+12,America/St_Lucia
LOC-0084,"Shanghai, China",Shanghai,Shanghai,China,APAC,Asia,36.91,1.7,2335394,1.55E+12,Africa/Lagos
LOC-0085,"London, United Kingdom",London,England,United Kingdom,EMEA,Europe,148.44,3.1,3818208,4.27E+11,Europe/Minsk
LOC-0086,"Cairo, Egypt",Cairo,Cairo,Egypt,EMEA,Africa,119.39,1.6,2612985,2.44E+11,Africa/Mbabane
LOC-0087,"Shanghai, China",Shanghai,Shanghai,China,APAC,Asia,45.42,1.5,7409919,1.22E+12,Africa/Mbabane
LOC-0088,"Tokyo, Japan",Tokyo,Tokyo,Japan,APAC,Asia,30.77,2.5,3838304,7.33E+11,Pacific/Port_Moresby
LOC-0089,"Shanghai, China",Shanghai,Shanghai,China,APAC,Asia,51.56,5,14404600,1.69E+12,Asia/Almaty
LOC-0090,"Mexico City, Mexico",Mexico City,Mexico City,Mexico,Americas,North America,42.16,3.9,2884296,82246912402,Pacific/Ponape
LOC-0091,"Mumbai, India",Mumbai,Maharashtra,India,APAC,Asia,125.74,4.9,6201592,8.79E+11,Asia/Katmandu
LOC-0092,"Sydney, Australia",Sydney,New South Wales,Australia,APAC,Australia,105.18,4.4,22860423,4.83E+11,Europe/Zagreb
LOC-0093,"Paris, France",Paris,Île-de-France,France,EMEA,Europe,118.97,4,3628748,1.24E+12,Asia/Bangkok
LOC-0094,"Paris, France",Paris,Île-de-France,France,EMEA,Europe,34.12,1.7,13545631,1.65E+12,America/Panama
LOC-0095,"Kinshasa, DR Congo",Kinshasa,Kinshasa,DR Congo,EMEA,Africa,75.88,1.3,13632506,8.65E+11,Africa/Conakry
LOC-0096,"São Paulo, Brazil",São Paulo,São Paulo,Brazil,Americas,South America,129.71,3.4,22740155,5.60E+11,Europe/Paris
LOC-0097,"Jakarta, Indonesia",Jakarta,Jakarta,Indonesia,APAC,Asia,82.11,2.5,9333455,6.24E+11,Atlantic/Reykjavik
LOC-0098,"Kinshasa, DR Congo",Kinshasa,Kinshasa,DR Congo,EMEA,Africa,122.9,2.3,22103511,9.40E+11,Europe/Athens
LOC-0099,"New York, United States",New York,New York,United States,Americas,North America,85.14,1.1,12549205,9.15E+11,Africa/Nouakchott
LOC-0100,"Lagos, Nigeria",Lagos,Lagos,Nigeria,EMEA,Africa,65.71,4.3,17354499,1.01E+12,America/Santiago
LOC-0101,"Tokyo, Japan",Tokyo,Tokyo,Japan,APAC,Asia,50.61,2.2,3098846,7.94E+11,Europe/San_Marino
LOC-0102,"Toronto, Canada",Toronto,Ontario,Canada,Americas,North America,83.87,1.7,22593392,4.63E+11,Europe/Amsterdam
LOC-0103,"Kinshasa, DR Congo",Kinshasa,Kinshasa,DR Congo,EMEA,Africa,48.49,4.9,12135360,1.45E+12,America/Panama
LOC-0104,"Lagos, Nigeria",Lagos,Lagos,Nigeria,EMEA,Africa,135.31,1.4,19425164,1.89E+12,Europe/Dublin
LOC-0105,"Toronto, Canada",Toronto,Ontario,Canada,Americas,North America,106.01,2,24014973,8.19E+11,America/Antigua
LOC-0106,"Buenos Aires, Argentina",Buenos Aires,Buenos Aires,Argentina,Americas,South America,110.27,3.6,15829589,8.13E+11,Africa/Mbabane
LOC-0107,"Jakarta, Indonesia",Jakarta,Jakarta,Indonesia,APAC,Asia,114.77,4.1,3028922,1.56E+12,Asia/Bahrain
LOC-0108,"Seoul, South Korea",Seoul,Seoul,South Korea,APAC,Asia,80.77,5,21117327,1.70E+12,Asia/Vientiane
LOC-0109,"Mumbai, India",Mumbai,Maharashtra,India,APAC,Asia,70.19,3.2,16823742,1.37E+12,Asia/Manila
LOC-0110,"Cairo, Egypt",Cairo,Cairo,Egypt,EMEA,Africa,136.97,1.2,7123917,2.59E+11,Africa/Kigali
LOC-0111,"Jakarta, Indonesia",Jakarta,Jakarta,Indonesia,APAC,Asia,87.49,4.6,11212417,3.45E+11,Europe/Simferopol
LOC-0112,"Kinshasa, DR Congo",Kinshasa,Kinshasa,DR Congo,EMEA,Africa,140.87,3,2140774,1.88E+12,Asia/Tehran
LOC-0113,"Shanghai, China",Shanghai,Shanghai,China,APAC,Asia,123.23,2.5,5407803,2.20E+11,Asia/Dushanbe
LOC-0114,"Sydney, Australia",Sydney,New South Wales,Australia,APAC,Australia,129.03,2.3,2275036,1.07E+12,Asia/Bishkek
LOC-0115,"Los Angeles, United States",Los Angeles,California,United States,Americas,North America,65.74,4.3,1652821,1.71E+12,Africa/Banjul
LOC-0116,"Cairo, Egypt",Cairo,Cairo,Egypt,EMEA,Africa,146.07,3.5,17499656,1.05E+12,Pacific/Kosrae
LOC-0117,"Cairo, Egypt",Cairo,Cairo,Egypt,EMEA,Africa,49.42,4.6,23589268,1.86E+12,Africa/Nairobi
LOC-0118,"Sydney, Australia",Sydney,New South Wales,Australia,APAC,Australia,147.33,2.5,16797471,2.46E+11,Europe/Copenhagen
LOC-0119,"Cairo, Egypt",Cairo,Cairo,Egypt,EMEA,Africa,74.44,2.8,9546243,1.56E+12,Asia/Damascus
LOC-0120,"Berlin, Germany",Berlin,Berlin,Germany,EMEA,Europe,141.69,2.6,19056680,1.23E+12,Europe/Monaco
LOC-0121,"Cairo, Egypt",Cairo,Cairo,Egypt,EMEA,Africa,66.07,2,21357000,1.39E+12,Europe/Stockholm
LOC-0122,"New York, United States",New York,New York,United States,Americas,North America,48.8,4.3,12622752,1.19E+11,Asia/Kabul
LOC-0123,"Moscow, Russia",Moscow,Moscow,Russia,EMEA,Europe,117.19,1.6,13182936,1.85E+12,Asia/Taipei
LOC-0124,"Mumbai, India",Mumbai,Maharashtra,India,APAC,Asia,126.79,2.2,8648967,7.14E+11,Africa/Sao_Tome
LOC-0125,"Los Angeles, United States",Los Angeles,California,United States,Americas,North America,40.49,2.1,4542002,1.01E+12,America/Belize
LOC-0126,"Toronto, Canada",Toronto,Ontario,Canada,Americas,North America,61.65,2.3,13095159,7.26E+11,America/Guatemala
LOC-0127,"Mexico City, Mexico",Mexico City,Mexico City,Mexico,Americas,North America,85.66,1.7,15100013,1.57E+12,Africa/Windhoek
LOC-0128,"São Paulo, Brazil",São Paulo,São Paulo,Brazil,Americas,South America,53.66,4.2,23630698,1.49E+11,Asia/Riyadh
LOC-0129,"Shanghai, China",Shanghai,Shanghai,China,APAC,Asia,104.28,3.7,5914822,10161261991,Asia/Tokyo
LOC-0130,"Berlin, Germany",Berlin,Berlin,Germany,EMEA,Europe,63.7,2.3,20162191,1.03E+12,Europe/Rome
LOC-0131,"London, United Kingdom",London,England,United Kingdom,EMEA,Europe,56.91,4.9,11951410,7.51E+11,Africa/Dakar
LOC-0132,"Kinshasa, DR Congo",Kinshasa,Kinshasa,DR Congo,EMEA,Africa,76.13,4.2,23588339,1.54E+12,Asia/Colombo
LOC-0133,"Moscow, Russia",Moscow,Moscow,Russia,EMEA,Europe,112.16,2.9,7294406,1.63E+12,Pacific/Majuro
LOC-0134,"Paris, France",Paris,Île-de-France,France,EMEA,Europe,45.15,3,23539552,6.46E+11,Asia/Qatar
LOC-0135,"Lagos, Nigeria",Lagos,Lagos,Nigeria,EMEA,Africa,141.4,2.3,23338640,1.72E+12,Asia/Makassar
LOC-0136,"Lagos, Nigeria",Lagos,Lagos,Nigeria,EMEA,Africa,86.67,1.5,18313545,7.19E+11,Asia/Nicosia
LOC-0137,"Moscow, Russia",Moscow,Moscow,Russia,EMEA,Europe,102.89,4.6,20320071,2.36E+11,Europe/Riga
LOC-0138,"Paris, France",Paris,Île-de-France,France,EMEA,Europe,53.77,1.4,5023344,8.23E+11,Europe/Stockholm
LOC-0139,"Kinshasa, DR Congo",Kinshasa,Kinshasa,DR Congo,EMEA,Africa,133.41,1.7,20403589,17023239161,Africa/Windhoek
LOC-0140,"Cairo, Egypt",Cairo,Cairo,Egypt,EMEA,Africa,121.81,3.9,744199,81078154148,Europe/Ljubljana
LOC-0141,"Cairo, Egypt",Cairo,Cairo,Egypt,EMEA,Africa,146.61,1.1,14966050,6.95E+11,Australia/Melbourne
LOC-0142,"New York, United States",New York,New York,United States,Americas,North America,58.48,4.9,11408791,32808429812,America/Antigua
LOC-0143,"Lagos, Nigeria",Lagos,Lagos,Nigeria,EMEA,Africa,75.98,4.7,15524722,7.39E+11,America/St_Johns
LOC-0144,"Moscow, Russia",Moscow,Moscow,Russia,EMEA,Europe,132.6,2.8,14781626,9.29E+11,America/Indiana/Marengo
LOC-0145,"Seoul, South Korea",Seoul,Seoul,South Korea,APAC,Asia,59.18,4.4,7931618,1.28E+12,Asia/Katmandu
LOC-0146,"Tokyo, Japan",Tokyo,Tokyo,Japan,APAC,Asia,120.38,2.1,21696649,1.56E+12,Europe/Dublin
LOC-0147,"Cairo, Egypt",Cairo,Cairo,Egypt,EMEA,Africa,97.63,2.7,3926501,39659396643,Asia/Nicosia
LOC-0148,"Moscow, Russia",Moscow,Moscow,Russia,EMEA,Europe,48.95,1.5,16666011,1.30E+12,Asia/Bishkek
LOC-0149,"Istanbul, Turkey",Istanbul,Istanbul,Turkey,EMEA,Europe,41.3,5,13287562,1.88E+12,Pacific/Fiji
LOC-0150,"Mexico City, Mexico",Mexico City,Mexico City,Mexico,Americas,North America,75.65,1.1,1634852,1.40E+12,Africa/Dakar
LOC-0151,"Tokyo, Japan",Tokyo,Tokyo,Japan,APAC,Asia,145.02,1.1,24959623,3.30E+11,America/Port_of_Spain
LOC-0152,"Los Angeles, United States",Los Angeles,California,United States,Americas,North America,117.23,2.2,16201402,1.69E+12,Europe/Amsterdam
LOC-0153,"Mumbai, India",Mumbai,Maharashtra,India,APAC,Asia,103.58,1.7,11523553,3.94E+11,Africa/Maseru
LOC-0154,"Paris, France",Paris,Île-de-France,France,EMEA,Europe,115.76,1.8,23407487,4.77E+11,Asia/Karachi
LOC-0155,"Sydney, Australia",Sydney,New South Wales,Australia,APAC,Australia,141.48,1.1,12646329,1.70E+12,Africa/Malabo
LOC-0156,"London, United Kingdom",London,England,United Kingdom,EMEA,Europe,40.02,4.5,11049383,1.53E+12,Africa/Windhoek
LOC-0157,"Toronto, Canada",Toronto,Ontario,Canada,Americas,North America,43.64,1.1,17039166,1.12E+12,Europe/Tallinn
LOC-0158,"Los Angeles, United States",Los Angeles,California,United States,Americas,North America,96.61,2.2,3359747,3.68E+11,Asia/Thimphu
LOC-0159,"Kinshasa, DR Congo",Kinshasa,Kinshasa,DR Congo,EMEA,Africa,40.61,4.1,10660275,2.58E+11,Africa/Asmera
LOC-0160,"Buenos Aires, Argentina",Buenos Aires,Buenos Aires,Argentina,Americas,South America,39.81,2.3,19250975,2.19E+11,America/Araguaina
LOC-0161,"Istanbul, Turkey",Istanbul,Istanbul,Turkey,EMEA,Europe,94.33,1.5,20632370,2.24E+11,America/Jamaica
LOC-0162,"Jakarta, Indonesia",Jakarta,Jakarta,Indonesia,APAC,Asia,63.59,3.9,21695239,1.85E+12,America/Managua
LOC-0163,"Istanbul, Turkey",Istanbul,Istanbul,Turkey,EMEA,Europe,139.69,4.3,2934497,6.84E+11,Indian/Antananarivo
LOC-0164,"Mexico City, Mexico",Mexico City,Mexico City,Mexico,Americas,North America,134.57,3.4,24384987,5.78E+11,Pacific/Majuro
LOC-0165,"Buenos Aires, Argentina",Buenos Aires,Buenos Aires,Argentina,Americas,South America,141.23,1.7,7950482,3.19E+11,Europe/Dublin
LOC-0166,"Toronto, Canada",Toronto,Ontario,Canada,Americas,North America,129,1,3709018,5.82E+11,Asia/Nicosia
LOC-0167,"Tokyo, Japan",Tokyo,Tokyo,Japan,APAC,Asia,115.59,1.6,9921926,82395211532,Indian/Mauritius
LOC-0168,"Seoul, South Korea",Seoul,Seoul,South Korea,APAC,Asia,111.16,3.9,18322865,1.51E+12,Europe/Sarajevo
LOC-0169,"London, United Kingdom",London,England,United Kingdom,EMEA,Europe,45.07,1.2,1843268,2.92E+11,Europe/Zurich
LOC-0170,"Moscow, Russia",Moscow,Moscow,Russia,EMEA,Europe,45.74,4.7,6366435,3.68E+11,Africa/Bissau
LOC-0171,"Mumbai, India",Mumbai,Maharashtra,India,APAC,Asia,142.3,4.7,10442754,5.21E+11,Asia/Bishkek
LOC-0172,"Tokyo, Japan",Tokyo,Tokyo,Japan,APAC,Asia,148.79,1.4,24893172,1.38E+12,Africa/Nouakchott
LOC-0173,"Lagos, Nigeria",Lagos,Lagos,Nigeria,EMEA,Africa,68.22,2.4,21208801,1.92E+12,Europe/Chisinau
LOC-0174,"Moscow, Russia",Moscow,Moscow,Russia,EMEA,Europe,88.04,1.3,9340919,1.28E+12,America/St_Kitts
LOC-0175,"London, United Kingdom",London,England,United Kingdom,EMEA,Europe,50.66,2.8,10138891,8.59E+11,Asia/Bangkok
LOC-0176,"São Paulo, Brazil",São Paulo,São Paulo,Brazil,Americas,South America,61.36,2.1,15959892,3.72E+11,Africa/Banjul
LOC-0177,"Kinshasa, DR Congo",Kinshasa,Kinshasa,DR Congo,EMEA,Africa,76.06,1,168694,3.39E+11,Indian/Mahe
LOC-0178,"New York, United States",New York,New York,United States,Americas,North America,59.2,4,22420901,41684242998,Africa/Mogadishu
LOC-0179,"Jakarta, Indonesia",Jakarta,Jakarta,Indonesia,APAC,Asia,76.84,3,6388984,1.35E+12,Europe/London
LOC-0180,"Tokyo, Japan",Tokyo,Tokyo,Japan,APAC,Asia,149.38,2,12042019,9.00E+11,Pacific/Galapagos
LOC-0181,"Shanghai, China",Shanghai,Shanghai,China,APAC,Asia,94.52,3.1,2360649,7.65E+11,Asia/Colombo
LOC-0182,"Buenos Aires, Argentina",Buenos Aires,Buenos Aires,Argentina,Americas,South America,143.15,4.8,3054046,2.83E+11,Europe/London
LOC-0183,"Buenos Aires, Argentina",Buenos Aires,Buenos Aires,Argentina,Americas,South America,92.96,4.1,7485998,54928257790,America/Guatemala
LOC-0184,"Los Angeles, United States",Los Angeles,California,United States,Americas,North America,48.65,4.6,3319308,5.96E+11,Asia/Katmandu
LOC-0185,"Toronto, Canada",Toronto,Ontario,Canada,Americas,North America,94.58,4.4,2980232,9.47E+11,America/Mexico_City
LOC-0186,"Los Angeles, United States",Los Angeles,California,United States,Americas,North America,41.84,2.9,9702992,1.02E+12,Asia/Rangoon
LOC-0187,"Seoul, South Korea",Seoul,Seoul,South Korea,APAC,Asia,105.79,3.5,13226461,32633439301,Indian/Mauritius
LOC-0188,"Toronto, Canada",Toronto,Ontario,Canada,Americas,North America,137.25,1.7,24284245,1.41E+11,Europe/Brussels
LOC-0189,"New York, United States",New York,New York,United States,Americas,North America,73.2,1.1,4200179,3.02E+11,America/Belem
LOC-0190,"Lagos, Nigeria",Lagos,Lagos,Nigeria,EMEA,Africa,140.97,4.8,15246400,1.74E+12,Asia/Brunei
LOC-0191,"Kinshasa, DR Congo",Kinshasa,Kinshasa,DR Congo,EMEA,Africa,77.82,2.2,10356507,1.30E+12,Europe/Tallinn
LOC-0192,"Los Angeles, United States",Los Angeles,California,United States,Americas,North America,84.52,3.3,13805160,8.14E+11,Asia/Vientiane
LOC-0193,"Cairo, Egypt",Cairo,Cairo,Egypt,EMEA,Africa,88.49,3,11538435,1.61E+12,Asia/Aqtobe
LOC-0194,"Jakarta, Indonesia",Jakarta,Jakarta,Indonesia,APAC,Asia,92.06,1.8,8717720,9.48E+11,America/St_Vincent
LOC-0195,"Shanghai, China",Shanghai,Shanghai,China,APAC,Asia,66.28,1.5,19314209,1.45E+12,Africa/Kigali
LOC-0196,"New York, United States",New York,New York,United States,Americas,North America,66.13,3.8,11602707,1.38E+12,Africa/Mogadishu
LOC-0197,"São Paulo, Brazil",São Paulo,São Paulo,Brazil,Americas,South America,51.08,4,14575403,1.16E+12,America/Antigua
LOC-0198,"Lagos, Nigeria",Lagos,Lagos,Nigeria,EMEA,Africa,46.13,3.8,4166350,1.45E+12,Pacific/Nauru
LOC-0199,"Tokyo, Japan",Tokyo,Tokyo,Japan,APAC,Asia,46.29,4.1,21374159,1.29E+12,Africa/Libreville
