SkillsetKey,Top_Required_Skill_1,Top_Required_Skill_2,Top_Required_Skill_3,Top_Emerging_Skill_1,Top_Emerging_Skill_2,Top_Emerging_Skill_3,Top_Obsolete_Skill_1,Top_Obsolete_Skill_2,Top_Obsolete_Skill_3,Skill_Gap_Index,AI_Skill_Requirement_Level
29,Azure,AWS,R,Power BI,TensorFlow,PyTorch,C++,Python,Tableau,6.4,High
30,R,C++,Salesforce,Excel,AWS,Marketing,Power BI,Adobe Photoshop,Salesforce,9.8,Medium
31,SQL,Azure,R,AWS,SQL,Salesforce,GCP,R,GCP,5.5,Very High
32,GCP,Power BI,Azure,Excel,Azure,Adobe Photoshop,Azure,PyTorch,Adobe Photoshop,8.2,Low
33,PyTorch,C++,Adobe Photoshop,PyTorch,Project Management,GCP,Salesforce,Power BI,Azure,9.7,High
34,C++,TensorFlow,Project Management,Salesforce,Excel,AWS,TensorFlow,Marketing,Project Management,7.8,Very High
35,TensorFlow,Python,Adobe Photoshop,Java,Salesforce,Java,Salesforce,Excel,SQL,1.4,High
36,AWS,Tableau,Tableau,Communication,TensorFlow,Tableau,GCP,Marketing,Java,5.6,Medium
37,C++,Azure,AWS,PyTorch,Python,AWS,SQL,C++,C++,1.5,High
38,Java,Adobe Photoshop,GCP,Python,Salesforce,Communication,R,PyTorch,R,8.6,Low
39,SQL,GCP,PyTorch,Java,Power BI,C++,Marketing,R,Java,7.9,Low
40,TensorFlow,Project Management,Java,GCP,PyTorch,Excel,R,Tableau,Adobe Photoshop,7.6,Very High
41,Marketing,PyTorch,AWS,Java,Project Management,Tableau,Tableau,Project Management,Python,6.0,Low
42,Java,Communication,Excel,Azure,Tableau,Salesforce,Excel,Azure,SQL,5.0,Medium
43,Excel,Python,Python,GCP,Adobe Photoshop,Marketing,Salesforce,C++,Excel,2.7,Very High
44,Azure,Communication,Tableau,Excel,Excel,Excel,Salesforce,Python,PyTorch,4.3,Low
45,Power BI,Adobe Photoshop,Excel,Azure,Python,R,Adobe Photoshop,Power BI,Marketing,9.2,Low
46,Azure,Adobe Photoshop,GCP,GCP,R,Java,Tableau,Excel,AWS,5.2,Low
47,Excel,SQL,Java,Tableau,Python,Adobe Photoshop,Python,Power BI,R,5.0,Very High
48,Adobe Photoshop,Java,Project Management,C++,R,Excel,Python,SQL,Tableau,5.1,Very High
49,Python,AWS,Tableau,PyTorch,Java,Tableau,Communication,Marketing,SQL,3.6,Low
50,Adobe Photoshop,Power BI,PyTorch,Java,PyTorch,Marketing,Communication,Salesforce,Azure,4.6,High
51,Azure,Power BI,SQL,Adobe Photoshop,GCP,Salesforce,Excel,Tableau,Azure,6.6,Low
52,Marketing,PyTorch,Communication,R,Salesforce,SQL,Java,Java,Azure,5.5,Very High
53,TensorFlow,Excel,R,Excel,R,R,Azure,TensorFlow,Java,9.7,Very High
54,R,Tableau,Marketing,Excel,TensorFlow,Python,TensorFlow,SQL,Adobe Photoshop,8.9,Low
55,Communication,Project Management,Marketing,Salesforce,Adobe Photoshop,Marketing,Tableau,AWS,Excel,8.9,Very High
56,Marketing,AWS,Azure,Communication,GCP,Java,Marketing,C++,Power BI,2.2,High
57,R,Adobe Photoshop,Tableau,R,R,TensorFlow,Excel,Azure,SQL,1.0,Low
58,PyTorch,Excel,Python,SQL,PyTorch,R,Adobe Photoshop,GCP,Tableau,5.3,High
59,Power BI,Java,Excel,Azure,C++,Power BI,GCP,Excel,GCP,9.6,Very High
60,Python,SQL,Excel,C++,Adobe Photoshop,Salesforce,Azure,Python,Java,2.3,High
61,Python,Marketing,Marketing,TensorFlow,AWS,Java,Excel,R,Python,3.0,High
62,GCP,Salesforce,Excel,Communication,TensorFlow,Azure,PyTorch,Java,Power BI,2.9,High
63,TensorFlow,Project Management,C++,Power BI,SQL,Salesforce,GCP,Communication,AWS,1.2,Very High
64,Project Management,GCP,Java,Power BI,PyTorch,Communication,Marketing,PyTorch,Project Management,2.0,Very High
65,Salesforce,Java,Marketing,PyTorch,Communication,Tableau,Python,TensorFlow,Python,6.8,Medium
66,GCP,Azure,Power BI,Java,Azure,Python,TensorFlow,GCP,R,2.0,Medium
67,AWS,Adobe Photoshop,Python,Excel,AWS,Salesforce,Project Management,Marketing,Java,9.1,Very High
68,Java,SQL,Power BI,SQL,SQL,R,Adobe Photoshop,TensorFlow,R,2.7,High
69,C++,Power BI,Python,AWS,GCP,PyTorch,Salesforce,R,SQL,5.2,Very High
70,Salesforce,Adobe Photoshop,Power BI,Project Management,Marketing,Communication,Azure,GCP,C++,1.4,Medium
71,AWS,R,Java,TensorFlow,Adobe Photoshop,Python,Project Management,Excel,Adobe Photoshop,5.1,Low
72,SQL,PyTorch,Power BI,C++,AWS,GCP,TensorFlow,TensorFlow,Salesforce,8.8,Low
73,Salesforce,R,PyTorch,PyTorch,Adobe Photoshop,TensorFlow,PyTorch,Adobe Photoshop,GCP,6.5,Medium
74,R,Tableau,R,TensorFlow,Python,C++,Marketing,Power BI,PyTorch,4.9,High
75,Azure,PyTorch,Azure,Communication,Communication,GCP,Adobe Photoshop,Tableau,TensorFlow,3.4,Very High
76,Python,Communication,C++,PyTorch,Salesforce,C++,C++,Adobe Photoshop,Adobe Photoshop,7.4,Medium
77,Tableau,Java,R,Adobe Photoshop,Project Management,Communication,Salesforce,R,SQL,4.4,Medium
78,C++,Java,PyTorch,Marketing,TensorFlow,Azure,SQL,PyTorch,Salesforce,3.0,Medium
79,Power BI,Python,Project Management,Azure,Communication,TensorFlow,AWS,Marketing,PyTorch,1.2,High
80,SQL,AWS,Java,PyTorch,Project Management,Tableau,SQL,Communication,AWS,9.9,High
81,GCP,Salesforce,Marketing,Marketing,SQL,Java,Azure,Excel,Adobe Photoshop,6.8,Low
82,Tableau,TensorFlow,Project Management,Tableau,Marketing,Python,SQL,AWS,R,2.1,High
83,Marketing,SQL,Tableau,Marketing,C++,AWS,Java,AWS,Salesforce,1.6,Medium
84,Tableau,AWS,TensorFlow,R,GCP,Python,Tableau,Adobe Photoshop,Java,7.1,Medium
85,Project Management,Excel,Java,Tableau,R,Salesforce,Adobe Photoshop,GCP,Adobe Photoshop,7.1,High
86,TensorFlow,SQL,Java,R,Communication,TensorFlow,C++,R,Python,5.6,Very High
87,Salesforce,Excel,Tableau,Excel,Salesforce,Communication,Excel,Marketing,PyTorch,5.7,Very High
88,SQL,TensorFlow,AWS,Adobe Photoshop,Azure,R,Adobe Photoshop,Excel,TensorFlow,2.7,High
89,TensorFlow,Adobe Photoshop,SQL,Marketing,R,SQL,R,C++,Salesforce,8.1,Medium
90,AWS,Communication,Communication,Project Management,Power BI,Python,Power BI,Communication,Python,8.9,Low
91,Communication,Marketing,Marketing,Java,Power BI,C++,Azure,Azure,Java,1.1,Low
92,PyTorch,Python,Power BI,Java,Project Management,SQL,Excel,Marketing,Excel,10.0,Medium
93,C++,Java,Project Management,Power BI,Azure,Marketing,GCP,Communication,Marketing,8.3,Very High
94,Azure,Power BI,C++,Salesforce,C++,TensorFlow,AWS,Java,Project Management,2.9,Medium
95,R,Python,Project Management,Azure,Salesforce,Excel,Adobe Photoshop,GCP,GCP,6.0,High
96,R,Excel,Excel,TensorFlow,SQL,Salesforce,AWS,Azure,C++,6.2,Medium
97,Tableau,GCP,TensorFlow,Marketing,Power BI,Marketing,TensorFlow,Python,Power BI,8.1,Low
98,TensorFlow,R,C++,Excel,Communication,SQL,Marketing,Tableau,Python,6.0,Very High
99,Salesforce,Excel,Salesforce,Azure,Excel,SQL,Azure,Java,PyTorch,7.2,Low
100,Java,C++,SQL,AWS,Java,AWS,GCP,Adobe Photoshop,Tableau,1.1,Very High
101,SQL,Salesforce,Java,Adobe Photoshop,Adobe Photoshop,Excel,C++,GCP,SQL,8.8,High
102,AWS,Project Management,Excel,Python,Project Management,Marketing,SQL,Excel,Java,4.6,High
103,Adobe Photoshop,Communication,Python,R,Project Management,Project Management,GCP,SQL,Java,3.8,Very High
104,Adobe Photoshop,Azure,Marketing,Salesforce,R,GCP,Azure,Tableau,Azure,2.2,Medium
105,SQL,R,Project Management,PyTorch,Power BI,Project Management,C++,Salesforce,TensorFlow,9.2,Medium
106,Java,Java,Java,Tableau,Marketing,Marketing,Project Management,Excel,Communication,7.9,Low
107,Salesforce,Tableau,SQL,C++,TensorFlow,R,Communication,Azure,Adobe Photoshop,9.3,Very High
108,Salesforce,TensorFlow,Salesforce,GCP,Marketing,Salesforce,Tableau,Excel,Excel,1.5,Medium
109,SQL,AWS,GCP,Python,Project Management,PyTorch,Communication,Excel,Marketing,4.5,Very High
110,SQL,Power BI,Adobe Photoshop,Communication,Python,TensorFlow,Adobe Photoshop,C++,R,6.5,Low
111,Adobe Photoshop,SQL,Salesforce,Project Management,AWS,Adobe Photoshop,Communication,Power BI,GCP,8.4,Medium
112,Salesforce,Communication,TensorFlow,GCP,C++,Marketing,SQL,C++,C++,4.0,Very High
113,TensorFlow,C++,Tableau,Adobe Photoshop,Salesforce,Marketing,Excel,GCP,PyTorch,7.3,Very High
114,Power BI,Communication,Java,AWS,Excel,Azure,Power BI,Python,Marketing,3.8,Medium
115,Excel,Java,Power BI,SQL,Tableau,Tableau,Adobe Photoshop,Azure,AWS,7.0,High
116,Tableau,Azure,Communication,Salesforce,Salesforce,R,Salesforce,Salesforce,Power BI,2.3,Medium
117,R,Power BI,Tableau,PyTorch,AWS,R,PyTorch,GCP,R,8.2,Low
118,Adobe Photoshop,Tableau,Project Management,Azure,Java,TensorFlow,PyTorch,C++,SQL,2.6,Very High
119,TensorFlow,AWS,Azure,GCP,Python,Communication,Azure,Project Management,AWS,6.5,Medium
120,PyTorch,Python,Adobe Photoshop,Tableau,SQL,Python,C++,R,Power BI,8.3,Medium
121,Excel,Communication,Tableau,AWS,Java,Tableau,Marketing,Python,Project Management,5.2,High
122,Tableau,Salesforce,Python,Adobe Photoshop,Azure,SQL,Adobe Photoshop,R,Python,1.6,Medium
123,GCP,R,Salesforce,R,Excel,TensorFlow,Python,R,Power BI,6.2,Low
124,SQL,Project Management,TensorFlow,Adobe Photoshop,Excel,Excel,TensorFlow,GCP,Excel,5.7,Low
125,Communication,Python,Power BI,Salesforce,PyTorch,GCP,Excel,C++,Communication,6.5,Low
126,AWS,Communication,Java,AWS,Adobe Photoshop,Salesforce,Java,GCP,Power BI,5.7,High
127,Adobe Photoshop,Project Management,PyTorch,Excel,TensorFlow,Marketing,GCP,TensorFlow,AWS,6.5,Medium
128,Excel,TensorFlow,Java,PyTorch,Salesforce,Communication,Python,Python,GCP,2.6,Medium
129,Azure,Adobe Photoshop,Tableau,C++,GCP,SQL,Project Management,R,Marketing,8.5,Low
130,Power BI,C++,AWS,GCP,Power BI,Power BI,GCP,Salesforce,C++,8.7,Low
131,GCP,PyTorch,GCP,AWS,SQL,Salesforce,Adobe Photoshop,Java,TensorFlow,9.3,Very High
132,Marketing,Java,Tableau,C++,Adobe Photoshop,Marketing,Salesforce,PyTorch,GCP,9.4,High
133,Adobe Photoshop,Power BI,Azure,C++,R,Java,Java,Marketing,Adobe Photoshop,3.3,Medium
134,AWS,Python,C++,Azure,R,Adobe Photoshop,Project Management,R,Excel,3.4,Medium
135,TensorFlow,R,Adobe Photoshop,Azure,Salesforce,Python,Java,TensorFlow,Communication,3.7,Low
136,C++,Tableau,TensorFlow,AWS,Java,Tableau,TensorFlow,Marketing,Adobe Photoshop,1.4,High
137,R,AWS,Communication,Communication,SQL,GCP,Marketing,GCP,AWS,4.6,Low
138,Adobe Photoshop,Project Management,R,Power BI,Project Management,Java,Marketing,AWS,PyTorch,6.7,High
139,Adobe Photoshop,R,Marketing,Communication,AWS,Salesforce,Azure,AWS,Tableau,9.1,Medium
140,TensorFlow,Adobe Photoshop,Tableau,PyTorch,R,Excel,GCP,Python,Azure,8.4,Very High
141,SQL,Excel,C++,Salesforce,C++,Power BI,PyTorch,Tableau,TensorFlow,1.3,Medium
142,Tableau,PyTorch,TensorFlow,AWS,Excel,Adobe Photoshop,C++,GCP,PyTorch,7.4,Low
143,GCP,AWS,Power BI,Adobe Photoshop,Azure,SQL,SQL,C++,Excel,1.7,Medium
144,C++,R,Excel,Excel,Salesforce,AWS,Project Management,GCP,GCP,9.4,Very High
145,GCP,Salesforce,Azure,Azure,Project Management,Salesforce,Project Management,Azure,Tableau,2.6,High
146,Python,R,Communication,Adobe Photoshop,Marketing,Tableau,Communication,GCP,Python,3.4,High
147,GCP,Communication,Tableau,Communication,SQL,Marketing,Python,Project Management,Power BI,1.5,Very High
148,Communication,Communication,Tableau,PyTorch,SQL,Azure,SQL,C++,Excel,2.4,Very High
149,Marketing,TensorFlow,Salesforce,C++,Communication,Tableau,PyTorch,Communication,Adobe Photoshop,7.7,Low
150,TensorFlow,PyTorch,Excel,Azure,C++,SQL,C++,Salesforce,Marketing,6.9,Medium
151,AWS,Excel,C++,SQL,Tableau,PyTorch,Project Management,Marketing,Salesforce,4.9,Low
152,Project Management,Azure,Adobe Photoshop,Azure,GCP,Communication,Project Management,Python,R,5.3,Very High
153,Python,PyTorch,Project Management,Azure,TensorFlow,PyTorch,AWS,Power BI,Tableau,1.0,High
154,SQL,Azure,Adobe Photoshop,Salesforce,AWS,Power BI,PyTorch,Python,Excel,7.3,High
155,R,Adobe Photoshop,AWS,Python,Tableau,Azure,Salesforce,Excel,GCP,7.1,Low
156,Java,AWS,Salesforce,Tableau,Communication,Project Management,SQL,R,C++,8.4,Low
157,Azure,AWS,TensorFlow,Salesforce,Adobe Photoshop,TensorFlow,R,AWS,Excel,8.4,Medium
158,Tableau,TensorFlow,AWS,Python,Salesforce,Excel,Project Management,Excel,Adobe Photoshop,6.1,Medium
159,AWS,C++,Marketing,SQL,C++,Python,Adobe Photoshop,Marketing,R,6.8,High
160,TensorFlow,GCP,Communication,Java,R,Salesforce,TensorFlow,Salesforce,Tableau,5.6,Low
161,Power BI,Python,Python,Salesforce,SQL,Salesforce,R,Adobe Photoshop,Power BI,1.8,Medium
162,Project Management,C++,Tableau,PyTorch,GCP,GCP,Marketing,Azure,Power BI,8.1,Very High
163,R,GCP,Power BI,AWS,Azure,PyTorch,Java,Excel,Communication,3.2,Medium
164,Azure,Project Management,R,Azure,Python,PyTorch,TensorFlow,C++,Python,9.6,Medium
165,AWS,C++,SQL,C++,R,Azure,R,Excel,Java,9.4,High
166,SQL,GCP,Adobe Photoshop,Adobe Photoshop,Java,Excel,Marketing,PyTorch,Tableau,1.5,High
167,PyTorch,Project Management,GCP,AWS,Communication,Adobe Photoshop,Excel,SQL,Adobe Photoshop,8.9,High
168,Salesforce,Power BI,SQL,Power BI,AWS,Adobe Photoshop,Project Management,AWS,Communication,1.8,High
169,Azure,Communication,Adobe Photoshop,GCP,Java,Python,Tableau,GCP,PyTorch,9.4,High
170,Power BI,Communication,AWS,R,Java,AWS,C++,TensorFlow,Java,7.7,Very High
171,GCP,SQL,Power BI,Azure,Excel,Azure,AWS,Communication,TensorFlow,6.2,Low
172,Python,SQL,TensorFlow,Azure,Azure,Power BI,Project Management,Salesforce,Power BI,8.9,High
173,Java,Adobe Photoshop,Communication,AWS,Power BI,AWS,Power BI,Communication,SQL,6.5,Very High
174,Project Management,TensorFlow,GCP,Project Management,Azure,Azure,Excel,AWS,Marketing,4.7,High
175,R,Tableau,Power BI,Adobe Photoshop,Adobe Photoshop,Project Management,C++,GCP,PyTorch,9.7,High
176,Python,Java,Marketing,C++,GCP,Adobe Photoshop,C++,Power BI,Excel,7.3,High
177,PyTorch,TensorFlow,Tableau,Salesforce,GCP,Marketing,Java,GCP,Python,3.9,Very High
178,Marketing,AWS,R,Tableau,TensorFlow,Python,Project Management,Power BI,GCP,2.8,Very High
179,Java,R,Python,Marketing,Azure,Adobe Photoshop,GCP,PyTorch,Excel,4.3,Very High
180,Communication,Tableau,Azure,PyTorch,Excel,Communication,Marketing,R,C++,5.7,Medium
181,R,Python,Azure,Tableau,Communication,Communication,C++,PyTorch,Salesforce,6.6,Medium
182,Power BI,Azure,SQL,AWS,Salesforce,Adobe Photoshop,Tableau,GCP,R,7.0,Very High
183,GCP,Power BI,Excel,Python,TensorFlow,Tableau,R,Salesforce,Excel,4.2,Medium
184,Excel,Communication,Azure,Excel,Azure,GCP,Marketing,Salesforce,R,5.4,Low
185,Azure,Communication,Azure,Project Management,Adobe Photoshop,Marketing,C++,Marketing,R,4.3,Very High
186,Project Management,Communication,Azure,Excel,PyTorch,Tableau,TensorFlow,SQL,PyTorch,3.5,Low
187,Adobe Photoshop,Project Management,AWS,Excel,AWS,R,Tableau,Python,PyTorch,8.7,Low
188,Python,Marketing,Adobe Photoshop,C++,PyTorch,TensorFlow,Project Management,Python,Java,7.5,Medium
189,Azure,Python,PyTorch,Adobe Photoshop,PyTorch,R,Python,PyTorch,Adobe Photoshop,6.6,High
190,C++,Azure,Adobe Photoshop,Communication,AWS,Tableau,C++,SQL,AWS,5.5,Medium
191,Salesforce,AWS,Azure,Tableau,Java,AWS,C++,SQL,Power BI,7.2,High
192,R,PyTorch,PyTorch,Salesforce,PyTorch,Communication,Excel,Power BI,PyTorch,5.2,Low
193,Power BI,TensorFlow,Excel,AWS,R,Python,Excel,GCP,Python,4.2,Medium
194,Java,Excel,Python,Azure,PyTorch,Python,Tableau,Tableau,Communication,5.6,Medium
195,Adobe Photoshop,TensorFlow,Java,Power BI,Marketing,TensorFlow,AWS,Communication,Azure,2.9,High
196,C++,TensorFlow,Tableau,Java,Java,Excel,Project Management,AWS,R,3.3,Medium
197,Marketing,GCP,GCP,TensorFlow,TensorFlow,AWS,Excel,R,C++,2.1,Very High
198,Salesforce,Azure,PyTorch,Adobe Photoshop,Marketing,Communication,Power BI,Azure,Project Management,1.5,Very High
199,Azure,Java,PyTorch,Azure,Project Management,Java,GCP,Excel,AWS,6.2,Very High
200,Excel,Adobe Photoshop,C++,AWS,Power BI,R,C++,Java,Salesforce,8.8,Medium
201,C++,PyTorch,TensorFlow,Project Management,Excel,Adobe Photoshop,Azure,Project Management,Salesforce,2.1,Medium
202,Azure,SQL,C++,Azure,Azure,TensorFlow,Project Management,Python,GCP,9.0,Low
203,AWS,TensorFlow,AWS,Excel,Communication,PyTorch,R,Project Management,Azure,6.6,Low
204,SQL,Project Management,Power BI,PyTorch,GCP,Marketing,Project Management,SQL,R,1.3,Very High
205,Java,Tableau,R,TensorFlow,Adobe Photoshop,R,Excel,Java,Excel,1.7,Medium
206,Python,Adobe Photoshop,Tableau,Python,Communication,Adobe Photoshop,SQL,Adobe Photoshop,C++,9.9,High
207,PyTorch,Excel,TensorFlow,PyTorch,Python,Marketing,Java,Adobe Photoshop,Adobe Photoshop,6.4,Medium
208,TensorFlow,Excel,GCP,Java,C++,Python,Adobe Photoshop,AWS,Python,7.2,Very High
209,GCP,TensorFlow,Project Management,Power BI,PyTorch,TensorFlow,Python,Power BI,Project Management,1.2,Very High
210,Azure,TensorFlow,Project Management,R,Adobe Photoshop,R,PyTorch,Excel,SQL,5.6,High
211,R,PyTorch,TensorFlow,Power BI,Project Management,Salesforce,Azure,C++,AWS,3.0,High
212,AWS,GCP,Excel,Azure,AWS,Power BI,Power BI,Marketing,PyTorch,5.8,High
213,GCP,PyTorch,Java,Excel,Adobe Photoshop,Project Management,Java,Excel,Java,3.0,Very High
214,C++,GCP,PyTorch,C++,Azure,AWS,Tableau,Azure,C++,9.6,High
215,SQL,R,Excel,Excel,Communication,Power BI,R,C++,Java,8.8,Low
216,Adobe Photoshop,PyTorch,Java,PyTorch,Marketing,AWS,Python,R,Communication,1.9,Very High
217,Power BI,TensorFlow,Salesforce,Excel,Marketing,Salesforce,Adobe Photoshop,AWS,Excel,6.8,High
218,Adobe Photoshop,Java,Azure,Power BI,Marketing,Java,Java,Python,Adobe Photoshop,9.5,Low
219,Azure,Salesforce,GCP,TensorFlow,GCP,Python,Salesforce,Communication,Marketing,9.7,Medium
220,Adobe Photoshop,Salesforce,Power BI,AWS,Marketing,Python,PyTorch,SQL,Marketing,9.9,Very High
221,Tableau,Salesforce,R,TensorFlow,Tableau,GCP,Tableau,Project Management,Project Management,7.1,Medium
222,Excel,Java,Marketing,Communication,TensorFlow,R,AWS,R,Tableau,6.8,Low
223,TensorFlow,Azure,Project Management,Java,Java,PyTorch,Adobe Photoshop,Project Management,AWS,9.9,Medium
224,Salesforce,Communication,AWS,Python,C++,TensorFlow,Python,Adobe Photoshop,Java,5.3,Medium
225,TensorFlow,Excel,AWS,SQL,Excel,C++,TensorFlow,Java,Tableau,2.2,Medium
226,Java,GCP,Java,GCP,SQL,Adobe Photoshop,AWS,Python,Tableau,4.1,Low
227,Azure,TensorFlow,Project Management,Java,SQL,R,Marketing,Project Management,SQL,4.4,Medium
228,GCP,Communication,Excel,Project Management,Python,Python,SQL,Salesforce,SQL,5.4,Low
229,Project Management,Salesforce,Communication,GCP,R,Java,Adobe Photoshop,R,GCP,7.1,Medium
230,Azure,Python,Project Management,Project Management,Salesforce,Excel,Project Management,AWS,Communication,2.7,Low
231,Communication,TensorFlow,Communication,PyTorch,R,Excel,Java,SQL,Java,7.7,Low
232,AWS,GCP,Communication,Python,Salesforce,Python,Adobe Photoshop,AWS,Project Management,3.8,Very High
233,Power BI,C++,PyTorch,Java,Adobe Photoshop,SQL,Adobe Photoshop,AWS,PyTorch,2.8,High
234,R,Python,Java,PyTorch,C++,C++,PyTorch,Salesforce,PyTorch,4.0,Medium
235,GCP,Adobe Photoshop,AWS,Python,C++,Adobe Photoshop,Power BI,Marketing,SQL,8.1,High
236,Power BI,Azure,Azure,GCP,GCP,Java,GCP,Azure,SQL,1.8,Low
237,TensorFlow,Excel,PyTorch,Adobe Photoshop,SQL,Salesforce,Power BI,Adobe Photoshop,GCP,1.0,Low
238,Communication,TensorFlow,TensorFlow,Project Management,Salesforce,GCP,Project Management,SQL,PyTorch,3.5,Low
239,Python,SQL,Power BI,Marketing,Excel,Salesforce,Power BI,Excel,AWS,1.2,Low
240,AWS,GCP,Salesforce,SQL,Project Management,Azure,SQL,R,SQL,7.3,Medium
241,Excel,C++,R,Marketing,Power BI,PyTorch,Azure,SQL,Project Management,1.9,Medium
242,TensorFlow,Salesforce,TensorFlow,Python,Communication,PyTorch,Python,Excel,Excel,2.8,Low
243,Excel,AWS,Communication,PyTorch,Salesforce,Java,Marketing,Java,TensorFlow,4.9,High
244,GCP,AWS,Excel,Azure,Communication,AWS,Project Management,Salesforce,Excel,8.9,Medium
245,TensorFlow,Marketing,Tableau,Java,Communication,Communication,TensorFlow,Marketing,Power BI,3.4,Low
246,Communication,Java,Salesforce,Adobe Photoshop,TensorFlow,AWS,Tableau,GCP,C++,8.4,Very High
247,Azure,Python,AWS,SQL,PyTorch,Adobe Photoshop,Communication,R,SQL,8.2,Very High
248,Communication,Marketing,PyTorch,Project Management,Communication,Excel,Project Management,Java,R,3.9,Low
249,TensorFlow,Project Management,Power BI,Project Management,SQL,Excel,Project Management,Power BI,SQL,10.0,Very High
250,Java,Adobe Photoshop,AWS,Python,Java,Tableau,Java,TensorFlow,Project Management,2.4,Medium
251,Salesforce,Tableau,Excel,Python,Project Management,Adobe Photoshop,Java,TensorFlow,TensorFlow,8.8,Very High
252,Tableau,C++,Python,Azure,Power BI,R,R,TensorFlow,Salesforce,9.1,High
253,Project Management,Azure,SQL,C++,Project Management,Project Management,TensorFlow,AWS,PyTorch,6.4,Low
254,Project Management,Tableau,Communication,Salesforce,Project Management,Java,C++,AWS,Python,5.0,Very High
255,GCP,Tableau,Project Management,Marketing,GCP,Marketing,Tableau,Tableau,Python,6.9,High
256,Marketing,TensorFlow,AWS,Adobe Photoshop,Java,C++,Power BI,Marketing,TensorFlow,3.9,Medium
257,PyTorch,GCP,TensorFlow,AWS,Azure,Marketing,Tableau,SQL,Adobe Photoshop,4.8,High
258,Communication,Java,C++,Power BI,SQL,Marketing,Python,Salesforce,Project Management,4.8,Very High
259,Communication,Python,Communication,Azure,Project Management,AWS,Marketing,Java,Tableau,7.8,High
260,Excel,TensorFlow,Marketing,GCP,PyTorch,R,PyTorch,Salesforce,Azure,9.8,High
261,AWS,Java,Communication,Project Management,Python,Marketing,AWS,AWS,GCP,6.2,Medium
262,Project Management,Excel,Azure,TensorFlow,TensorFlow,PyTorch,Python,PyTorch,Marketing,3.6,High
263,Azure,Salesforce,R,Power BI,Communication,Project Management,Marketing,Azure,AWS,3.2,Very High
264,Python,Azure,SQL,TensorFlow,Communication,GCP,Marketing,AWS,GCP,6.1,Medium
265,SQL,Java,Salesforce,Project Management,Tableau,Power BI,Salesforce,TensorFlow,Excel,7.5,Low
