AIInvestmentKey,AI_Investment_Level_USD,AI_Productivity_Gain_Pct,AI_Return_on_Investment_ROI_Score,Primary_Investment_Area,Investment_DateKey,Funding_Source,Project_Name,Project_Status,Team_Size,Risk_Level,Expected_Payback_Period_Months
56,12518112,0.18,2.85,Generative AI,1095,Internal,AI Project 56,Completed,58,Medium,20
57,19288993,0.38,1.2,Platform,1378,Corporate,AI Project 57,In-Progress,53,Low,32
58,37279317,0.18,2.75,Generative AI,973,Corporate,AI Project 58,Planned,34,Low,26
59,34165836,0.28,0.69,Analytics,342,Grant,AI Project 59,On-Hold,37,Medium,29
60,28474656,0.29,2.03,Automation,550,VC,AI Project 60,In-Progress,32,Low,16
61,40299359,0.09,2.11,Analytics,1260,Internal,AI Project 61,Completed,97,Medium,7
62,15510679,0.11,2.76,Analytics,984,Corporate,AI Project 62,In-Progress,13,Medium,10
63,20518890,0.08,2.81,Automation,1581,Corporate,AI Project 63,Completed,12,Low,13
64,8588464,0.19,2.19,Automation,810,Corporate,AI Project 64,Completed,81,High,35
65,37628989,0.39,1.78,Platform,2116,Grant,AI Project 65,On-Hold,91,Medium,35
66,10645492,0.06,1.91,Analytics,1888,Grant,AI Project 66,Completed,35,Low,29
67,30270601,0.08,2.24,Platform,999,VC,AI Project 67,On-Hold,83,Medium,28
68,35145472,0.28,2.66,Analytics,448,Grant,AI Project 68,Completed,94,Medium,7
69,45730959,0.13,2.27,Analytics,1877,Internal,AI Project 69,In-Progress,65,High,9
70,5629316,0.32,1.53,Analytics,1591,VC,AI Project 70,On-Hold,26,Low,12
71,3321388,0.13,2.41,Analytics,1966,Corporate,AI Project 71,Completed,54,High,32
72,45411563,0.09,1.44,Platform,1506,Internal,AI Project 72,Planned,68,Medium,12
73,28906804,0.18,1.28,Generative AI,1758,Corporate,AI Project 73,Planned,35,High,33
74,7679292,0.14,1.68,Analytics,65,VC,AI Project 74,In-Progress,8,Low,16
75,21789728,0.13,1.57,Automation,976,Corporate,AI Project 75,Completed,36,Medium,12
76,19422938,0.17,1.8,Analytics,992,VC,AI Project 76,In-Progress,39,Medium,15
77,29518702,0.36,1.52,Generative AI,927,Internal,AI Project 77,Completed,58,High,11
78,5110649,0.18,2.39,Generative AI,1387,Internal,AI Project 78,In-Progress,37,High,33
79,6229479,0.14,0.76,Platform,1896,Corporate,AI Project 79,Completed,45,High,17
80,11040081,0.1,1.97,Automation,1531,VC,AI Project 80,Completed,19,High,35
81,45499538,0.29,2.69,Automation,1494,Internal,AI Project 81,Planned,70,High,10
82,37906198,0.28,0.84,Generative AI,540,VC,AI Project 82,On-Hold,35,High,35
83,16443132,0.1,1.74,Generative AI,1703,Corporate,AI Project 83,On-Hold,52,High,13
84,31212685,0.36,0.5,Generative AI,1359,Grant,AI Project 84,Completed,57,Medium,9
85,47639204,0.18,2.17,Automation,422,Internal,AI Project 85,Completed,79,Low,8
86,2122866,0.37,2.23,Generative AI,2160,Corporate,AI Project 86,Completed,75,High,29
87,6610050,0.17,2.12,Generative AI,419,Internal,AI Project 87,Completed,16,Low,18
88,10953778,0.2,1.09,Generative AI,36,Corporate,AI Project 88,In-Progress,90,High,30
89,31059237,0.12,2.07,Analytics,487,Corporate,AI Project 89,On-Hold,6,Medium,11
90,21067191,0.11,0.66,Platform,1596,Internal,AI Project 90,Completed,37,Low,33
91,26450195,0.08,0.71,Analytics,522,Corporate,AI Project 91,Planned,15,Medium,35
92,22364823,0.08,1.14,Automation,69,Grant,AI Project 92,Completed,47,High,12
93,34992518,0.27,2.11,Generative AI,1775,Corporate,AI Project 93,Planned,45,Medium,29
94,26085052,0.22,0.96,Analytics,1646,Grant,AI Project 94,On-Hold,21,High,27
95,18446155,0.36,1.29,Analytics,1534,VC,AI Project 95,In-Progress,57,Low,11
96,4272703,0.29,1.02,Automation,922,VC,AI Project 96,Planned,55,Medium,16
97,38103094,0.21,0.75,Automation,1887,Internal,AI Project 97,Completed,91,Low,17
98,4837616,0.07,0.56,Generative AI,1469,Grant,AI Project 98,On-Hold,77,High,15
99,30176929,0.22,2.12,Analytics,986,Internal,AI Project 99,On-Hold,32,Medium,26
100,29320977,0.33,2.97,Platform,1159,Corporate,AI Project 100,Completed,49,Medium,23
101,23485680,0.2,0.92,Automation,1056,Corporate,AI Project 101,Planned,64,Low,8
102,9478858,0.26,2.36,Automation,1593,Internal,AI Project 102,On-Hold,6,High,31
103,17797608,0.17,2.13,Analytics,1201,Corporate,AI Project 103,In-Progress,21,High,16
104,21602773,0.33,1.48,Generative AI,902,Grant,AI Project 104,In-Progress,94,Low,28
105,8965483,0.14,2.87,Generative AI,1114,Internal,AI Project 105,In-Progress,74,High,32
106,46255044,0.18,1.73,Platform,1560,Corporate,AI Project 106,In-Progress,19,Low,7
107,20669997,0.08,1.53,Generative AI,551,Internal,AI Project 107,On-Hold,70,Medium,6
108,16501731,0.19,2.32,Automation,825,Internal,AI Project 108,Planned,16,High,14
109,9996995,0.06,2.85,Platform,183,Grant,AI Project 109,Completed,56,High,35
110,5772069,0.32,2.49,Generative AI,672,Corporate,AI Project 110,Completed,44,High,19
111,41412469,0.07,1.1,Platform,726,Corporate,AI Project 111,In-Progress,75,Medium,23
112,19005825,0.15,1.66,Generative AI,840,Corporate,AI Project 112,On-Hold,5,Low,33
113,33458108,0.19,0.8,Automation,1758,Corporate,AI Project 113,On-Hold,5,Medium,7
114,44045491,0.06,0.55,Generative AI,1922,Grant,AI Project 114,On-Hold,38,Medium,15
115,46747251,0.12,2.19,Automation,934,Internal,AI Project 115,In-Progress,33,Low,22
116,425499,0.26,0.85,Platform,643,Grant,AI Project 116,Completed,21,Medium,22
117,12896444,0.1,2.29,Platform,949,Corporate,AI Project 117,On-Hold,35,Medium,35
118,49611095,0.29,2.76,Automation,740,Grant,AI Project 118,Planned,73,High,18
119,3214777,0.13,2.3,Analytics,1104,Internal,AI Project 119,Planned,59,Low,21
120,6457604,0.17,1.32,Generative AI,230,Grant,AI Project 120,Planned,56,Low,25
121,1921193,0.25,1.05,Analytics,1720,Grant,AI Project 121,In-Progress,24,High,21
122,37870079,0.25,1.07,Analytics,1124,VC,AI Project 122,Completed,14,Low,30
123,8645610,0.36,2.52,Analytics,1613,VC,AI Project 123,In-Progress,48,Medium,32
124,21626859,0.07,1.66,Automation,1594,VC,AI Project 124,In-Progress,95,High,21
125,40045164,0.1,2.48,Automation,339,VC,AI Project 125,On-Hold,26,High,6
126,49827760,0.35,2.14,Automation,1208,Grant,AI Project 126,On-Hold,88,Medium,21
127,8310379,0.2,1.18,Analytics,2164,Corporate,AI Project 127,On-Hold,39,High,24
128,25711520,0.37,0.82,Platform,328,Grant,AI Project 128,In-Progress,16,Medium,6
129,40115054,0.39,2.32,Generative AI,1612,Corporate,AI Project 129,Planned,70,High,16
130,46428389,0.38,2.76,Automation,1700,Internal,AI Project 130,Planned,68,High,12
131,35169983,0.12,0.77,Generative AI,763,Corporate,AI Project 131,On-Hold,29,Medium,27
132,18567396,0.2,2.68,Analytics,1426,Grant,AI Project 132,On-Hold,28,High,13
133,5614907,0.26,2.53,Analytics,1307,Grant,AI Project 133,Completed,63,Medium,18
134,38395473,0.09,0.56,Analytics,1359,Grant,AI Project 134,Completed,37,High,29
135,38253417,0.19,0.94,Generative AI,356,Corporate,AI Project 135,Completed,41,Low,22
136,18660104,0.33,1.24,Analytics,1087,Grant,AI Project 136,Completed,46,High,24
137,12940920,0.1,2.1,Analytics,935,VC,AI Project 137,Planned,25,Medium,16
138,20695961,0.05,1.78,Analytics,1277,Grant,AI Project 138,On-Hold,36,Medium,22
139,21036604,0.22,2.14,Automation,522,VC,AI Project 139,On-Hold,26,Medium,6
140,6134597,0.28,1.04,Automation,1278,VC,AI Project 140,On-Hold,81,Low,6
141,18861825,0.31,0.92,Analytics,938,Corporate,AI Project 141,In-Progress,45,Medium,6
142,9788354,0.26,2.14,Platform,1840,Internal,AI Project 142,Planned,57,Low,18
143,10721704,0.25,2.4,Generative AI,793,Internal,AI Project 143,Planned,49,High,7
144,49155096,0.31,2.42,Automation,2099,Internal,AI Project 144,On-Hold,50,Medium,17
145,49426728,0.18,1.64,Automation,1951,Corporate,AI Project 145,Completed,48,Low,34
146,43253496,0.2,2.15,Platform,1011,Corporate,AI Project 146,On-Hold,61,Medium,20
147,27407993,0.06,1.25,Generative AI,2106,Grant,AI Project 147,Completed,6,High,21
148,8558146,0.25,0.89,Automation,566,Grant,AI Project 148,On-Hold,42,Low,26
149,40265179,0.12,1.77,Analytics,909,Internal,AI Project 149,On-Hold,81,High,33
150,42650776,0.21,1.78,Generative AI,1819,Grant,AI Project 150,Completed,74,Medium,24
151,10635876,0.17,1.31,Analytics,689,Internal,AI Project 151,In-Progress,84,Low,19
152,5370215,0.21,1.74,Automation,1456,Internal,AI Project 152,Planned,30,Medium,30
153,32368355,0.37,1.61,Analytics,321,Corporate,AI Project 153,On-Hold,9,Medium,8
154,35576611,0.18,2.72,Generative AI,397,Internal,AI Project 154,Planned,81,Low,18
155,45229520,0.13,2.61,Analytics,1381,Corporate,AI Project 155,Completed,98,Low,18
156,42759060,0.38,1.74,Automation,1931,Internal,AI Project 156,On-Hold,68,High,16
157,21319544,0.15,2.18,Generative AI,192,VC,AI Project 157,On-Hold,58,Medium,15
158,39916770,0.13,1.25,Generative AI,161,Corporate,AI Project 158,On-Hold,31,Medium,9
159,11159728,0.13,0.52,Analytics,1273,VC,AI Project 159,Completed,27,Low,9
160,4875975,0.38,2.17,Automation,1144,Corporate,AI Project 160,On-Hold,12,High,20
161,10924285,0.1,1.4,Analytics,679,Grant,AI Project 161,Completed,71,High,26
162,20821924,0.29,1.83,Platform,1471,Internal,AI Project 162,Completed,36,Medium,7
163,18122613,0.11,2.04,Generative AI,662,Corporate,AI Project 163,Planned,63,Medium,27
164,21746505,0.34,0.92,Generative AI,1571,Internal,AI Project 164,On-Hold,90,Medium,26
165,21565193,0.17,2.03,Platform,428,Grant,AI Project 165,In-Progress,51,Medium,9
166,34810243,0.11,0.53,Generative AI,813,VC,AI Project 166,Planned,65,High,29
167,43127479,0.39,2.67,Automation,1847,Corporate,AI Project 167,On-Hold,90,Low,34
168,7635273,0.32,0.94,Generative AI,370,Grant,AI Project 168,Completed,83,High,34
169,47964974,0.11,1.49,Analytics,244,VC,AI Project 169,In-Progress,10,High,30
170,35712025,0.32,2.3,Analytics,431,VC,AI Project 170,Planned,20,Low,28
171,14953212,0.26,2.98,Automation,830,Internal,AI Project 171,On-Hold,47,Low,19
172,24583750,0.17,0.9,Automation,1101,Internal,AI Project 172,In-Progress,90,Low,19
173,43713882,0.18,2.85,Platform,1807,Internal,AI Project 173,Completed,92,Medium,18
174,33217822,0.25,2.24,Generative AI,460,Internal,AI Project 174,Planned,59,Medium,12
175,5250845,0.1,1.7,Platform,1613,VC,AI Project 175,In-Progress,58,Low,18
176,14868450,0.15,0.74,Platform,1750,Corporate,AI Project 176,Completed,73,Low,9
177,25106217,0.08,2.44,Generative AI,2078,Internal,AI Project 177,Planned,28,Medium,33
178,11865047,0.12,1.39,Analytics,1121,VC,AI Project 178,Planned,96,Medium,8
179,45489916,0.17,2.09,Automation,989,Grant,AI Project 179,On-Hold,49,High,7
180,47287473,0.29,1.31,Generative AI,1930,Grant,AI Project 180,In-Progress,52,Medium,29
181,33791125,0.16,0.87,Platform,1489,VC,AI Project 181,On-Hold,22,High,18
182,17748879,0.25,0.76,Analytics,1914,Corporate,AI Project 182,Completed,8,High,12
183,35250828,0.29,0.93,Automation,655,Grant,AI Project 183,Completed,57,Medium,10
184,42716004,0.22,2.17,Analytics,291,Grant,AI Project 184,Completed,31,High,6
185,30347210,0.23,1.3,Analytics,1197,Corporate,AI Project 185,Planned,47,Medium,28
186,46899332,0.34,1.36,Automation,673,VC,AI Project 186,In-Progress,72,High,27
187,42189984,0.07,2.18,Automation,775,Grant,AI Project 187,On-Hold,91,High,33
188,20905009,0.32,1.88,Generative AI,1742,Grant,AI Project 188,Planned,83,Low,18
189,37324989,0.3,2.25,Automation,1965,Corporate,AI Project 189,In-Progress,17,Medium,32
190,32427554,0.18,1.96,Generative AI,642,VC,AI Project 190,On-Hold,25,Medium,21
191,4701687,0.31,1.7,Automation,846,VC,AI Project 191,Planned,53,High,11
192,35469252,0.33,1.22,Generative AI,2053,Grant,AI Project 192,In-Progress,76,High,26
193,19382171,0.35,0.65,Generative AI,413,VC,AI Project 193,Completed,72,Medium,22
194,42936480,0.15,2.55,Analytics,1541,Internal,AI Project 194,Completed,93,Medium,31
195,32805211,0.34,0.6,Generative AI,332,VC,AI Project 195,On-Hold,84,High,29
196,3871670,0.35,0.66,Generative AI,1720,Corporate,AI Project 196,Completed,92,Low,18
197,14670007,0.31,2.42,Analytics,553,Internal,AI Project 197,Planned,67,High,28
198,44877353,0.39,0.54,Platform,1047,VC,AI Project 198,Planned,95,Medium,8
199,34532555,0.15,1.99,Platform,1917,VC,AI Project 199,In-Progress,17,Low,25
200,24296335,0.35,0.8,Analytics,1255,Internal,AI Project 200,Completed,60,Medium,20
201,36312126,0.18,0.98,Generative AI,1912,Grant,AI Project 201,Planned,65,Low,13
202,14477566,0.27,0.66,Platform,1313,VC,AI Project 202,Planned,76,Low,15
203,34236699,0.16,0.71,Automation,1160,VC,AI Project 203,On-Hold,84,High,22
204,21689681,0.23,1.93,Generative AI,612,Grant,AI Project 204,On-Hold,17,High,30
205,4863086,0.16,2.74,Platform,1865,Internal,AI Project 205,In-Progress,69,High,10
206,17076186,0.28,1.31,Analytics,1648,Grant,AI Project 206,On-Hold,38,High,32
207,18341147,0.35,0.65,Generative AI,318,Corporate,AI Project 207,Completed,73,High,25
208,1363658,0.18,1.61,Platform,1314,Grant,AI Project 208,In-Progress,53,High,8
209,39653040,0.34,1.78,Analytics,728,Corporate,AI Project 209,Completed,54,High,17
210,14977137,0.16,1.58,Platform,626,Corporate,AI Project 210,On-Hold,5,Medium,21
211,3579686,0.18,2.41,Analytics,1846,VC,AI Project 211,Planned,8,Medium,15
212,29482204,0.24,2.18,Platform,2002,VC,AI Project 212,Planned,95,High,11
213,11857226,0.15,1.89,Generative AI,1881,Corporate,AI Project 213,Completed,42,Medium,21
214,44842426,0.11,0.53,Generative AI,545,Corporate,AI Project 214,Planned,83,Low,16
215,18795200,0.34,2.34,Platform,2166,VC,AI Project 215,On-Hold,16,Low,25
216,19809098,0.35,1.24,Platform,1002,Grant,AI Project 216,Planned,88,Medium,27
217,3226809,0.18,0.9,Automation,863,VC,AI Project 217,On-Hold,13,Medium,19
218,22201805,0.4,1.81,Generative AI,616,VC,AI Project 218,In-Progress,11,Low,9
219,33607067,0.09,1.91,Analytics,2022,VC,AI Project 219,On-Hold,76,High,12
220,20676601,0.24,1.01,Automation,291,VC,AI Project 220,In-Progress,65,Medium,15
221,40531283,0.13,1.81,Platform,562,Grant,AI Project 221,Completed,54,Low,35
222,29637373,0.39,2.65,Generative AI,1476,VC,AI Project 222,Completed,48,Medium,16
223,44775929,0.2,0.96,Automation,272,VC,AI Project 223,On-Hold,31,Medium,33
224,27590980,0.15,2.19,Platform,110,Internal,AI Project 224,Completed,7,Medium,28
225,1857414,0.19,2.1,Analytics,1958,Grant,AI Project 225,Planned,99,Low,23
226,5717854,0.21,1.7,Generative AI,589,Internal,AI Project 226,Planned,16,High,19
227,43100307,0.24,0.8,Platform,1213,Grant,AI Project 227,In-Progress,47,High,29
228,28837906,0.36,2.04,Generative AI,463,VC,AI Project 228,Planned,55,Medium,10
229,23388413,0.37,0.97,Platform,779,VC,AI Project 229,Completed,10,Medium,26
230,5734735,0.4,1.1,Platform,2,VC,AI Project 230,Planned,7,High,10
231,3239376,0.21,0.79,Analytics,20,VC,AI Project 231,Completed,98,Medium,14
232,836249,0.09,2.07,Automation,1190,Corporate,AI Project 232,On-Hold,78,High,33
233,20282832,0.39,2.13,Automation,146,Corporate,AI Project 233,On-Hold,92,High,30
234,22126054,0.32,2.14,Generative AI,1410,Internal,AI Project 234,On-Hold,30,High,17
235,37582556,0.14,2.03,Platform,1834,Internal,AI Project 235,In-Progress,38,Low,11
236,49709698,0.21,0.54,Platform,1711,Internal,AI Project 236,In-Progress,7,Medium,10
237,47183064,0.14,2.83,Automation,749,Grant,AI Project 237,Completed,39,Medium,19
238,43049624,0.32,0.87,Automation,407,Grant,AI Project 238,In-Progress,66,Medium,17
239,5794513,0.38,1.36,Analytics,721,VC,AI Project 239,In-Progress,17,Medium,35
240,36488964,0.23,0.66,Analytics,1728,Corporate,AI Project 240,On-Hold,9,Low,23
241,24584864,0.25,0.79,Generative AI,652,Corporate,AI Project 241,Completed,99,Low,11
242,42251368,0.36,2.29,Generative AI,1907,Corporate,AI Project 242,In-Progress,38,Low,30
243,28857141,0.23,1.6,Platform,1027,Grant,AI Project 243,In-Progress,29,High,29
244,32754525,0.25,2.26,Platform,541,Grant,AI Project 244,Completed,96,Medium,14
245,14630339,0.34,2.24,Analytics,499,Internal,AI Project 245,In-Progress,18,Medium,29
246,25379530,0.13,2.57,Generative AI,1049,Corporate,AI Project 246,In-Progress,79,Medium,20
247,32452521,0.08,1.12,Automation,1741,Grant,AI Project 247,On-Hold,18,Medium,21
248,21130448,0.1,0.87,Platform,288,Corporate,AI Project 248,On-Hold,55,High,32
249,5721803,0.28,0.51,Generative AI,123,VC,AI Project 249,In-Progress,71,Medium,7
250,16352002,0.1,1.25,Automation,667,Corporate,AI Project 250,On-Hold,25,Medium,21
251,17422561,0.39,1.11,Platform,1678,Corporate,AI Project 251,Completed,31,High,31
252,948006,0.17,1.73,Analytics,1760,Corporate,AI Project 252,On-Hold,16,High,23
253,36345348,0.33,2.1,Analytics,337,Grant,AI Project 253,On-Hold,17,High,32
254,37353586,0.13,1.23,Automation,916,VC,AI Project 254,Completed,50,Low,6
255,7876511,0.38,2.9,Automation,1477,Corporate,AI Project 255,Completed,55,Medium,35
256,37508138,0.06,1.28,Platform,1679,Corporate,AI Project 256,Planned,54,Medium,35
257,26224759,0.26,0.7,Platform,703,VC,AI Project 257,Planned,6,Low,27
258,6201037,0.06,0.82,Platform,244,VC,AI Project 258,Completed,31,Medium,19
259,7046815,0.15,2.27,Generative AI,2164,Internal,AI Project 259,In-Progress,77,Medium,8
260,26733591,0.31,1.52,Platform,1342,Internal,AI Project 260,Planned,99,Medium,10
261,49115709,0.39,1.15,Platform,215,Grant,AI Project 261,On-Hold,55,Low,15
262,17840799,0.14,2.87,Analytics,2036,Internal,AI Project 262,Planned,25,Medium,10
263,47589436,0.27,1.17,Platform,636,VC,AI Project 263,Completed,64,Low,31
264,24916280,0.2,2.6,Generative AI,1111,VC,AI Project 264,On-Hold,18,Low,13
265,18487251,0.21,1.75,Platform,1267,Grant,AI Project 265,Planned,68,Medium,27
266,3611225,0.3,1.67,Generative AI,758,Corporate,AI Project 266,Planned,22,Low,8
267,2123771,0.25,1.83,Generative AI,774,Internal,AI Project 267,On-Hold,75,Low,15
268,26933417,0.1,0.87,Platform,579,VC,AI Project 268,Planned,53,High,18
269,23423097,0.31,3.0,Automation,276,VC,AI Project 269,Planned,57,Medium,12
270,6370687,0.23,1.39,Generative AI,973,Grant,AI Project 270,On-Hold,90,Medium,22
271,300072,0.17,2.15,Generative AI,337,Grant,AI Project 271,Planned,15,Low,7
272,41398583,0.1,2.44,Platform,581,Grant,AI Project 272,On-Hold,84,High,26
273,24292721,0.39,0.62,Automation,1312,Grant,AI Project 273,Completed,76,Medium,25
274,7568192,0.21,2.91,Analytics,286,Corporate,AI Project 274,On-Hold,29,Medium,15
275,29430519,0.22,1.41,Automation,1968,VC,AI Project 275,Planned,18,High,11
276,31579554,0.16,2.91,Automation,1759,Grant,AI Project 276,On-Hold,44,Low,31
277,40088795,0.35,0.97,Automation,828,Grant,AI Project 277,In-Progress,56,High,21
278,15600186,0.13,2.76,Analytics,1010,Grant,AI Project 278,Planned,34,Low,10
279,35865762,0.3,1.87,Analytics,73,Internal,AI Project 279,On-Hold,91,Medium,15
280,18692498,0.12,2.56,Platform,1221,Grant,AI Project 280,In-Progress,58,Medium,33
281,43799991,0.08,1.8,Platform,1016,VC,AI Project 281,Completed,12,High,32
282,25354010,0.27,2.07,Analytics,588,VC,AI Project 282,In-Progress,23,Low,20
283,17405874,0.06,2.28,Generative AI,1204,Grant,AI Project 283,In-Progress,71,High,7
284,34339574,0.23,2.57,Platform,507,Corporate,AI Project 284,On-Hold,76,Medium,8
285,5125953,0.38,1.48,Platform,965,Internal,AI Project 285,Planned,44,Medium,9
286,30722077,0.11,0.61,Analytics,450,Corporate,AI Project 286,On-Hold,24,Low,23
287,324769,0.11,0.67,Analytics,652,VC,AI Project 287,On-Hold,42,Medium,21
288,39166527,0.39,2.83,Automation,2009,VC,AI Project 288,On-Hold,11,Medium,12
289,48547550,0.2,2.13,Generative AI,501,Corporate,AI Project 289,On-Hold,42,Low,25
290,13938569,0.15,1.17,Analytics,1304,Corporate,AI Project 290,Completed,42,Low,26
291,40044142,0.06,2.57,Platform,1386,Grant,AI Project 291,Planned,75,Low,10
292,29283067,0.36,1.09,Automation,842,Internal,AI Project 292,On-Hold,28,High,7
293,8053712,0.24,2.95,Platform,349,Internal,AI Project 293,In-Progress,93,Medium,11
294,31264437,0.33,0.52,Analytics,512,Corporate,AI Project 294,Completed,84,High,8
295,27277973,0.1,1.85,Platform,236,Internal,AI Project 295,Planned,24,Low,8
296,33858593,0.34,2.22,Generative AI,48,Corporate,AI Project 296,Planned,67,Medium,27
297,27629460,0.2,1.86,Platform,941,Grant,AI Project 297,On-Hold,67,Low,6
298,3793908,0.31,1.73,Generative AI,1913,VC,AI Project 298,In-Progress,62,Medium,6
299,47968323,0.37,2.72,Generative AI,847,Internal,AI Project 299,Planned,64,Low,12
300,20408657,0.17,2.67,Automation,1136,VC,AI Project 300,In-Progress,74,High,11
301,302064,0.09,2.26,Platform,309,Corporate,AI Project 301,In-Progress,81,Medium,16
302,40946923,0.1,1.2,Platform,325,Grant,AI Project 302,Planned,49,Medium,10
303,22389395,0.22,1.16,Automation,1037,VC,AI Project 303,In-Progress,19,Medium,10
304,6775568,0.17,1.63,Analytics,1876,Corporate,AI Project 304,Planned,16,Medium,17
305,44060235,0.23,1.09,Generative AI,482,Grant,AI Project 305,Planned,28,Low,20
306,35223435,0.19,1.57,Generative AI,1140,Corporate,AI Project 306,Completed,52,High,29
307,5668733,0.13,1.31,Generative AI,914,VC,AI Project 307,Completed,38,High,21
308,47091410,0.07,2.22,Generative AI,1118,Internal,AI Project 308,Planned,35,High,29
309,28356479,0.1,1.7,Generative AI,619,Grant,AI Project 309,On-Hold,30,High,7
